,title,entreprise,localisation,date,url to apply,details,job description
34,Développeur PHP,Urban Linker,Paris et périphérie,,,"Tu souhaites rejoindre l'équipe tech interne d'un acteur majeur du portage salarial, ce poste est fait pour toi !LA SOCIÉTÉCréée en 2004, cette entreprise est l’un des leaders du portage salarial en France. À travers leurs solutions de portage salarial, ils ont à cœur de rendre accessible l’entrepreneuriat, quel que soit le métier ou le domaine de compétence.Leur accompagnement et leur engagement aux côtés de leur partenaire s’appuient sur des valeurs fortes, qui ont forgé l’identité du groupe. Composé d'une trentaine de collaborateurs permanents et d'une équipe technique de 3 développeurs, elle a construit son propre ERP en interne.Leur client ? La quasi-totalité des acteurs du CAC40.Quelques chiffres parlants :✔️ 10 000 talents portés✔️ 100 000 missions réalisées✔️ 54 pays représentésDESCRIPTION DU POSTETu rejoins une équipe de 3 développeurs, et tes missions seront les suivantes :Ajouter des nouvelles fonctionnalitésMaintenance / Correction de bugsParticiper aux migrations de la stackÊtre garant de la qualité du codePACKAGEAbonnement salle de sportCarte SwileMutuelle / TransportPROFIL RECHERCHÉTu as 5 ans d'expérience en PHPTu maîtrises la gestion des classes sur ce langageTu maîtrises Visual StudioTu as obligatoirement un projet personnel que tu pourras montrerLES PLUS DU POSTELocaux flambant neuf dans le 17ᵉUn vrai esprit de famille en interne :)","Premier emploi,Temps plein,Technologies de l’information et Ingénierie,Services de conception et Technologie, information et Internet"
35,Alternance - Backend Developer PHP (H/F),Withings,Issy-les-Moulineaux,il y a 2 mois,,"Chez Withings, nous souhaitons redonner aux individus le contrôle de leur santé.Nous avons l’obsession de créer des produits beaux et intuitifs, afin que chacun puisse les utiliser facilement au quotidien; nos balances connectées, montres hybrides, tensiomètres, moniteurs de sommeil et tous les dispositifs de notre gamme sont aujourd’hui utilisés par des millions d’utilisateurs.Notre objectif : permettre la prévention, le dépistage et l’accompagnement d’un certain nombre de maladies chroniques via des produits et des services innovants, afin de révolutionner la manière dont on prend soin de notre santé.L’équipe Plateforme est au cœur de très nombreux projets chez Withings. Composée d’une dizaine de développeurs web, de devops et de techniciens IT, elle développe une API qui permet aux applications mobiles et aux produits WiFi de stocker et utiliser un très large panel de données. Elle intervient sur toute la vie d’un produit, de sa fabrication en usine jusqu’à son utilisation quotidienne. L’équipe implémente et maintient de nombreux mécanismes, parfois automatiques, pour collecter et utiliser toutes les données générées. Elle conçoit et développe également des applications web à destination des clients ou des équipes métiers du groupe.En rejoignant l’équipe Plateforme, tu pourras travailler sur l’ensemble des produits Withings et interagir avec de nombreuses équipes sur des sujets qui couvrent nos différentes activités (B2C, B2B, sujets internes…). Tu intégreras une équipe pluridisciplinaire aux expériences variées, avec laquelle tu apprendras et tu partageras tes connaissances.Au quotidien, tu concevras et tu développeras de nouvelles fonctionnalités, tu interviendras sur des problèmes remontés par nos équipes Qualité ou nos bêta-testeurs et tu amélioreras nos différents projets lors de sessions dédiées (refactoring, amélioration des performances, de la sécurité ou création d’outils pour améliorer notre quotidien).Tu pourras également proposer de nouvelles idées ou présenter de nouvelles technologies à l’équipe et d’autres services !Notre stack:Notre API est implémentée en PHP 8 avec un framework maison qui nous permet de maîtriser de bout en bout la gestion d’une forte volumétrie de données ;Nos applications web sont développées en ReactJS et nous utilisons Sass et Webpack ;Nous manipulons les nombreuses données collectées avec PostgreSQL, Scylla et Redis ;Nous facilitons la mise en place de nos environnements de travail grâce à des machines virtuelles Vagrant et des outils d’onboarding.Tu auras les responsabilités suivantes:Recueil du besoin, conception, prototypage, développement et optimisation des interfaces web et des APIs jusqu’à leur mise en production ;Comparaison et choix des technologies ;Proposition de fonctionnalités innovantes ;Amélioration et mise à niveau de projets existants ;Revue de code en équipe et tests automatisés.RequirementsTu recherche une alternance dans le cadre d'une formation Bac+5 en informatique ;Tu maîtrises le développement orienté objet et les bases SQL ;Tu as de très bonnes connaissances en PHP, HTML et CSS ainsi que des environnements Linux et des outils de versioning (Git) ;Tu souhaites travailler avec des technologies web innovantes telles PHP 8, ReactJS, Typescript, HTML5, Scylla, Redis ainsi que PostgreSQL ;Tu as démontré des qualités d’architecte ainsi qu’une capacité à construire et simplifier ;Tu es rigoureux.se, polyvalent.e et autonome ;Tu es doté.e d’un excellent sens de la communication en français et en anglais, aussi bien à l’écrit qu’à l’oral ;Une expérience en développement backend, un profil Github ou toute démonstration d'un projet personnel serait un plus.BenefitsRejoindre l’aventure Withings, c’est :Intégrer un des pionniers et leaders mondiaux de la santé connectée, plusieurs fois primé au Consumer Electronic ShowContribuer à des projets innovants et ambitieux pour la santé de demain dans un environnement agile et en constante évolutionIntégrer une entreprise internationale, membre de la FrenchTech 120, dont les équipes sont basées à Issy-les-Moulineaux, Boston, Hong-Kong et ShenzhenParticiper à l’amélioration continue de nos produits et services en les bêta-testant avant leur sortie, notamment lors de nos nombreuses sessions sportives entre collèguesParticiper à la Withings Med Academy en assistant à des conférences de professionnels de santé afin de renforcer ses connaissances dans le domaine médicalCollaborer avec des collègues passionnés et célébrer ensemble chacune de nos réussites !Toutes les candidatures reçues sont étudiées indépendamment de l’origine ethnique, des croyances, de la religion, du genre, de l’orientation sexuelle ou de la santé des candidats. Withings aspire à offrir et garantir l’égalité des chances aux candidats et seules les personnes habilitées (RH et Management) auront accès aux informations concernant votre candidature.","Premier emploi,Temps plein,Ingénierie et Technologies de l’information,Services de bien-être et fitness"
36,Développeur Front-ReactJs - Startup EdTech - Start-up innovante,Octopus IT - Expert du recrutement tech,Paris,il y a 3 semaines,https://fr.linkedin.com/jobs/view/externalApply/3332215399?url=https%3A%2F%2Fjobs%2Eoctopusit%2Efr%2Fjobs%2F955471-developpeur-front-reactjs-startup-edtech-start-up-innovante&urlHash=Ti65&refId=ZgSSK3mYh4V8PiomM2m%2Bqg%3D%3D&trackingId=dvTk23Xc9MIRYctdUhti4A%3D%3D&trk=public_jobs_apply-link-offsite,"La sociétéFondée en 2016, cette start-up sociale de 10 personnes, vise à accompagner les jeunes de 13 à 25 ans dans la construction de leur parcours professionnel. Elle leur propose ainsi une plateforme SaaS animée par des professeurs qui leur permettent tout le long de leur scolarité de réaliser les choix les plus pertinents pour leur futur.Après deux ans de recherches et de travail avec la communauté éducative, cette société a pu lancer son premier programme d’éducation à l’orientation à la rentrée scolaire 2018-2019.Pour autant, il reste encore de nombreux défis à relever : la constante amélioration du produit, l’implémentation de nouvelles fonctionnalités, la participation aux recrutements des nouveaux profils tech afin de sans cesse faire grandir l’équipe.Ce poste est à la fois porteur de sens et riche en opportunités puisqu’il vous est possible de rejoindre une équipe en pleine restructuration et donc ouvertes aux idées.Les nouveautés et l’originalité sont les bienvenues !Le posteNous recherchons un développeur front-end medium proactif et motivé qui travaillera main dans la main avec le CTO, le product owner et l’équipe technique pour construire l’outil d’orientation de demain.Dans une équipe de 5 personnes, vous aurez la possibilité de donner vos avis sur de nombreux enjeux et d’avoir comme missions :Participer au développement du produitParticiper au développement d’un produit dont l’impact social est énorme => accompagner des dizaines de milliers de jeunes perdus à définir leur projet de vieDévelopper de nouvelles fonctionnalités et serious-game pour les jeunes Travailler de façon rapprochée avec le Product Owner, l’UX/UI et l’équipe en charge des programmes pédagogiques pour traduire les évolutions Produit en fonctionnalités qui prennent dès le début en compte les enjeux techniques Préparer le développement d’une application mobile en 2021Etre force de proposition sur les enjeux techniques La stack actuellePython Django – Flask / API Rest / PostgreSQLHTML/CSS – JS – Typescript / React / ReduxAWS / KubernetesCI / CDLes évolutions à venir dépendront majoritairement de vous et de vos préconisations.Votre profilA partir de 3 ans d’XP sur ReactUne connaissance de React Native est un plusUne appétence pour l'éducation Le salaire & avantages45-55K€ Télétravail: 3j de présentiel et 2j en télétravail (possibilité de choisir)Mutuelle et NavigoEt plus encore…Ce qu’on préfèreLa participation active aux décisions prises par l’entrepriseUne ambiance dans laquelle les collaborateurs travaillent en synergieUne équipe qui aime la bonne entente ( sorties régulières prévues)Participer au démarrage d’un nouveau cycle pour une entreprise ayant un projet plein de sens","Premier emploi,Temps plein,Ingénierie et Technologies de l’information,Services de ressources humaines"
37,Developer Front End H/F,Weezevent,Clichy,il y a 1 semaine,https://fr.linkedin.com/jobs/view/externalApply/3328704461?url=https%3A%2F%2Ft%2Eholeest%2Ecom%2F%3Fpoc%3D2%26op%3D58527895%26o%3D1%26from%3Dhttps%253A%252F%252Fwww%2Ehellowork%2Ecom%252Ffr-fr%252Femplois%252F25596304%2Ehtml%253Futm_campaign%253Dclassique%252B-%252Blinkedin%252B-%252Binformatique%2526utm_medium%253Dmetamoteurs-free%2526utm_source%253Dlinkedin%2526utm_content%253Dfluxlinkedin%2526utm_term%253D25596304&urlHash=R71V&refId=ZgSSK3mYh4V8PiomM2m%2Bqg%3D%3D&trackingId=FS4PeDCiSv1cMXfLaBtK8Q%3D%3D&trk=public_jobs_apply-link-offsite,"En 2008, Pierre-Henri et Sébastien créent Weezevent avec une idée originale : répondre aux besoins des organisateurs d'événements via une solution en self-service. Aujourd'hui, nous proposons à plus de 300 000 organisateurs d'événements, et lieux de loisirs, des solutions technologiques innovantes de billetterie, de cashless et de contrôle d'accès. Nos clients opèrent dans tous les secteurs de l'événementiel, en Europe et au Canada (Hellfest, Lollapalooza, Vieilles Charrues, PSG, Fanzone de l'Euro UEFA, Vendée Globe, etc Grâce à l'investissement, la passion et au professionnalisme des équipes, nous sommes désormais la deuxième billetterie en France et l'acteur principal de cashless en Europe. Une centaine de collaborateurs, présents à Paris, Montréal, Madrid, Londres et Lausanne, adresse le marché dans plus de trente pays. Tu es mélomane et aimes aller en festival? Tu es passionné de sport et va au stade? Sans même le savoir, tu as certainement déjà utilisé une de nos techno ! Chez Weezevent, nous proposons à plus de 300 000 organisateurs d'événements et lieux de loisirs, des solutions technologiques innovantes de billetterie, de cashless et de contrôle d'accès. Nos clients opèrent dans tous les secteurs de l'événementiel, en Europe et au Canada (Hellfest, Lollapalooza, Vieilles Charrues, PSG, Fanzone de l'Euro, UEFA, Vendée Globe, etc Depuis 2008, grâce à l'investissement et au professionnalisme des équipes, nous sommes la deuxième billetterie en France et l'acteur principal de cashless en Europe. Une centaine de collaborateurs, présents à Paris, Montréal, Madrid, Londres et Lausanne, adresse le marché dans plus de trente pays. Comment pérenniser une boite de techno? En recrutant un nouveau Developer Front End H/F en CDI ! L'équipe Aujourd'hui, 26 passionnés composent l'ensemble de la Tech chez Weezevent. Au sein d'une petite équipe (2 à 5 développeurs), sous la supervision d'un Lead dev, tu fait partie de l'un de nos 2 pôles (lui-même composé de 3 équipes). Chacune de ces équipes, polyvalentes et complémentaires, se composent de la sorte :1 dev Front. Bien que nous visions à mettre du React partout, les produits vivent et ont un passif. Tu n'as donc pas peur de te frotter à du code vanilla, à des technos qui n'existent pas encore, ou même à des technos plus anciennes (Angular/Backbone).1 dev Back. L'essentiel de notre stack est basé sur des micros-services qui exposent des APIs JSON/Rest, en Python/Django.1 dev Fullstack.1 dev Mobile (Android/Kotlin/React-native). Le job Ton rôle principal consiste à implémenter les tâches spécifiées et ordonnées par ton Lead. Grâce à ton autonomie, tu es force de préconisations pour participer à la rédaction de specs, prendre en main des demandes supports (bugs), etc. Au-delà des classiques HTML, CSS, JavaScript et React, voici les bonus que nous cherchons : tests unitaires, Python, Django, React-Native, Kotlin, etc. Nous sommes sur des cycles de développement très courts avec plusieurs mises en production par jour; nous travaillons avec Github. L'infra Front consiste en un hébergement static sur AWS S3 servi par Cloudfront. Les APIs backs sont des micro-services docker qui tournent sur AWS ECS. Les technos cibles du moment sont Python/Django en back et React en front, Kotlin en mobile (React-Native lorsque ce sont des apps cross-platform). Nous cherchons avant tout un passionné qui aime prendre soin du produit. Ton insatiable curiosité te permet de t'enrichir régulièrement sur l'actualité produit. Afin d'évoluer dans un environnement de travail stimulant, nous t'offrons de l'autonomie; notamment dans la prise de décision. Les responsabilités ne te font pas peur. L'esprit d'équipe et le partage d'idées sont fondamentaux chez Weezevent. Viens t'épanouir au sein de l'équipe tech qui constitue notre source d'innovation et de performance. Plus encore, viens travailler avec Matthieu, créateur de la solution cashless leader sur le marché français ! Notre cadre de travail mêlant tech et événementiel, tu participes à des projets innovants, ambitieux et stimulants. Rejoins-nous pour travailler sur une solution concrète, dont tu peux voir l'opérationnalité sur le terrain. Chez Weezevent, on aime l'investissement, la curiosité et l'humour. Nous avons hâte d'échanger avec toi ! NB : actuellement à Saint-Denis, Weezevent déménage à Clichy (métro Mairie de Clichy) début 2023 dans des locaux tout beaux tout neufs ! Tous nos postes sont ouverts aux personnes en situation de handicap.","Premier emploi,Temps plein,Ingénierie et Technologies de l’information,Organisation d’événements"
38,Développeur Python (H/F),DOCARET,Clamart,,https://fr.linkedin.com/jobs/view/externalApply/3333171876?url=https%3A%2F%2Fwww%2Ejobposting%2Epro%2Femploi-1222806-123%23postuler&urlHash=ScV8&refId=ZgSSK3mYh4V8PiomM2m%2Bqg%3D%3D&trackingId=qU3VjUnb1EMwUxzQbm2HXA%3D%3D&trk=public_jobs_apply-link-offsite,"DOCARET, est une société de conseil et d'ingénierie. Depuis 40 ans, nous accompagnons nos clients sur les activités de conception, production et maintien en condition opérationnelle des systèmes industriels civiles et militaires.Nous intervenons dans les secteurs de la défense, l'aéronautique, l'automobile, les énergies et les télécommunications.Nous recherchons pour l'un de nos clients, secteur de la géothermie, un(e) Développeur Python.Le PosteEn tant que Développeur Python, vous aurez pour missions principales de : Travailler avec des experts pour affiner les exigences. Développer la logique côté serveur, la définition et la maintenance de la base de données centrale en s'assurant des performances et une réactivité élevée aux demandes des développeurs front-end. Intégrez des éléments destinés à l'utilisateur développés par des développeurs frontaux avec des applications côté serveur. Collaborer avec les développeurs front-end, les architectes, les clients, les utilisateurs et les Product Owners pour établir des objectifs et concevoir des codes fonctionnels et cohérents pour améliorer l'expérience utilisateur. Fournir un leadership technique et de la documentation aux développeurs et aux parties prenantes. Appliquer les procédures et principes d'utilisabilité. Construire des prototypes, des produits et des systèmes qui répondent aux normes et exigences de qualité du projet.Profil De formation Bac +5 en ingénierie ou dans le domaine informatique ou similaire. Vous avez au moins 5 ans d'expérience en génie logiciel et en système de contrôle de source et les environnements d'intégration/déploiement continus. Connaissances sur les technologies cloud : infrastructure et plateforme en tant que service sur Microsoft Azure, Google Cloud Platform et/ou Amazon Web Services. Connaissances d'un de ces langages est essentiel pour ce poste : Python, bash, SQL, TypeScript et de la méthode AGILE. Bonne compréhension des techniques et modèles de développement d'applications orientées objet. Bon niveau d'anglais.","Confirmé,Temps plein,Technologies de l’information,Services et conseil informatiques"
39,Développeur full-stack,Jalgos,Paris,il y a 3 semaines,https://fr.linkedin.com/jobs/view/externalApply/3333124176?url=https%3A%2F%2Fangel%2Eco%2Fcompany%2Fjalgos%2Fjobs%2F2019508-developpeur-full-stack%3Futm_campaign%3Dlinkedin_syndication%26utm_source%3Dlinkedin&urlHash=auw_&refId=ZgSSK3mYh4V8PiomM2m%2Bqg%3D%3D&trackingId=5m7Ra6F8iyFkbk53y0%2FQ7Q%3D%3D&trk=public_jobs_apply-link-offsite,"Spécialiste En Machine Learning Et Data Science, Nous Construisons Des Applications à Base D’algorithmes D’intelligence Artificielle PropriétairesUkpik https://ukpik.ai/ une solution de management de vidéos pour la télésurveillance qui utilise notre algorithme de détection automatique d'intrusions avec 1+ million d’alarmes traitées chaque mois.Lymia https://lymia.eu/ un outil d'aide au recrutement qui permet de cartographier les talents et de rechercher par candidat idéal dans des viviers de plus de 20 000 profils.Nous développons aussi une suite algorithmique et technologique permettant de construire et déployer rapidement des solutions de traitement de données.Tes missionsOn recherche un développeur full-stack passionné(e), créatif(ve) et autonome pour renforcer notre équipe. Tu vas construire différentes solutions en intégrant des modèles de data science dans des éléments front et back end pour obtenir une solution complète pour nos clients.Ecrire des microservices en golang et node.js, qui seront déployés et exécutés dans un cluster KubernetesTravailler avec des bases de données NoSQL, SQL et GraphQLContribuer à une bibliothèque de composants web propriétaireCréer de nouveaux composants et vues en React JS et ReasonMLLangages : R , C/C++, golang, node.js, ReactJS, ReasonMLTechnologies : Linux, Git, BDD SQL et NoSQL, D3js, Kubernetes, Docker, Microservices, CI/CDComposants à développer Diverses intégrations Kubernetes Intégration de bases de données comme DGraph, Hasura, PostgresAutomatiser des workflow avec ArgoCDDéveloppement d'un système de mise en page pour les vues front-endRecherche sur les techniques de visualisation de données et implémentation d'outils génériques","Premier emploi,Temps plein,Ingénierie et Technologies de l’information,Services et conseil informatiques"
40,Front-End Developer,Outsight,Paris,il y a 3 semaines,https://fr.linkedin.com/jobs/view/externalApply/3327323649?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Foutsight%2F8baeb617-447a-4af2-b2c6-e2eb7b6bdcad%2Fapply%3Flever-source%3DLinkedIn&urlHash=3-BT&refId=ZgSSK3mYh4V8PiomM2m%2Bqg%3D%3D&trackingId=vt4PsH7Zz7hoUX%2FITzgGMw%3D%3D&trk=public_jobs_apply-link-offsite,"The web team's main goal is to make Outsight's product shine through neat user interfaces and trailblazing 3D vizualisations. To fulfill this goal, the web team works at different levels:Conceive an embedded web application to configure and vizualize Tracking and SLAM algorithmsBuild a full stack application to store tracking results, compute and vizualize key statistic indicatorsDevelop a full stack application to support our field application team and our clients during all deployment steps.As a frontend web developer, you will participate toEPICs Refinement with the Product teamsCreation and improvement of innovative 3D vizualization with ThreeJSDevelopment of sustainable frontend applications with Vue3 and TypescriptQuality assurance with unit, integration and end to end tests with jest and PlaywrightDesired Skills And ExperiencesMaster degree in computer science or another related field.1+ year experience in frontend development with JavaScript.Experience with ThreeJS greatly appreciated.Experience with VueJS and Typescript greatly appreciated.Why join us?The opportunity to work in an international start-up on the rise with significant resources and high growth.The possibility of working with dynamic, experienced and multidisciplinary teams.The prospect of growing in responsibility with the business.The pride of participating in the creation of a whole new generation of 3D perception solutions.A position in which you can grow quickly and express your creativity & potential.Working with visionary and passionate management.Outsight means ""the ability to see and understand external things clearly."" We are an innovative company specialized in delivering “Real-Time 3D Situation Awareness.” We’ve developed unique solutions for processing LiDAR data in real-time as well as other 3D-native technologies. We enable an unprecedented level of perception and semantic capabilities or smart machines like vehicles and mobile robots, as well as smart infrastructure projects like transportation hubs, venues, roads, and more. Prestigious clients in the US, Europe, and Asia use our solutions in a variety of applications, including autonomous cars, mobile robots, industrial automation, ITS, drones, off-road vehicles, and more. In addition to Paris, we have offices in San Francisco and Sophia Antipolis.We're looking for top-notch professionals in a variety of fields to join our rapidly expanding team. Our products allow machines to see their surroundings in real time. Our customers use our solution in a variety of settings around the world, including nuclear power plants, warehouses, airports, industrial zones, forests, harbours, and urban areas, among others. When it comes to collecting real-world data with LiDARs, we provide our customers with state-of-the-art tools and best practices.Outsight is an Equal Employment Opportunity employer that pursues and hires a diverse workforce. Outsighters don't make employment decisions on the basis of race, color, religion, ethnic or national origin, nationality, sex, gender, gender-identity, sexual orientation, disability, age, military status, or any other basis protected by local, state, or federal laws. Outsight also strives for a healthy and safe workplace, and prohibits harassment of any kind. If you have a disability or special need that requires accommodation, please let us know.","Premier emploi,Temps plein,Ingénierie et Technologies de l’information,Développement de logiciels"
41,Développeur - Open Full Remote H/F,Aplicit,Paris,il y a 1 mois,https://fr.linkedin.com/jobs/view/externalApply/3322430802?url=https%3A%2F%2Ft%2Eholeest%2Ecom%2F%3Fpoc%3D2%26op%3D1051536539%26o%3D1%26from%3Dhttps%253A%252F%252Fwww%2Ehellowork%2Ecom%252Ffr-fr%252Femplois%252F21626806%2Ehtml%253Futm_campaign%253Dclassique%252B-%252Blinkedin%252B-%252Binformatique%2526utm_medium%253Dmetamoteurs-free%2526utm_source%253Dlinkedin%2526utm_content%253Dfluxlinkedin%2526utm_term%253D21626806&urlHash=jBf7&refId=ZgSSK3mYh4V8PiomM2m%2Bqg%3D%3D&trackingId=L9rdk77O67NB08HzPFqUzQ%3D%3D&trk=public_jobs_apply-link-offsite,"Intégrateur de référence en France des solutions Autodesk pour l'industrie et le bâtiment, APLICIT s'appuie sur une équipe d'experts techniques spécialisés capables de délivrer les services les plus poussés. Notre mission est de cibler les problématiques de nos clients pour les accompagner au mieux dans toutes les phases de leur projet : avant-projet, formation, intégration, déploiement, support et assistance technique. Nos implantations en régions nous permettent de servir plus de 8000 clients TPE/PME et une centaine de grands comptes parmi les plus renommés. Nous recrutons un développeur pour réaliser les applications demandées par nos clients utilisant nos solutions de simulation et fabrication assistée par ordinateur (autour de l'automatisation de procédés industriels) et pour prendre en charge le développement de modules d'extension type plugins, macros Vous prenez en charge :L'étude du besoin client et la rédaction du cahier des charges.Le développement de solutions et extensions aux logiciels de CAO/FAO.La rédaction des documents de conception.La mise en service sur les applicatifs des clients.La rédaction des documents de validation des installations.La formation des utilisateurs. Environnement de développement : C#/VB.NET, VBA, C JavaScript, ObjectARX, AutoLISP / BDD : MySQL, MS SQL server Vous travaillez sous la supervision d'un Responsable technique et d'Experts techniques des différentes industries couvertes par la division SIMULATIONFAO. Vous justifiez d'une première expérience réussie en développement d'applications dans des contextes industriels. Vous êtes autonome, curieux et vous aimez solutionner les problèmes. Rattachement à l'agence de Paris, possibilité de télétravail","Premier emploi,Temps plein,Ingénierie et Technologies de l’information,Développement de logiciels"
42,Fullstack Developer,Payplug,Paris,il y a 1 mois,,"Payplug est la solution de paiement française pensée pour les commerçants, e-commerçants de toutes tailles et fintechs.Avec notre plateforme technologique de pointe, nos outils dédiés à la conversion et notre maîtrise unique de la chaîne de paiement, nous vous invitons à viser le meilleur, et plus encore. Payplug, c’est une équipe de 400 passionnés dédiés à la réalisation de vos plus grandes ambitions.Nous accompagnons aujourd’hui 20 000 PME telles que Hast et Plante pour tous, mais aussi de grands groupes comme Maisons du monde, Veepee et kiwi.com. Payplug fait partie du Groupe BPCE depuis 2017.NOTRE AMBITIONNous construisons notre plateforme à partir des meilleures technologies open source disponibles, en faisant le choix le plus adapté pour chaque projet. Nous sommes convaincus des bénéfices d’une architecture SOA de type RESTful et nous évoluons dans un environnement micro-service.Aujourd’hui notre stack est composé.e notamment :Côté Front-end de React JS, TypeScript, Redux, Webpack.Côté Back-end de Python, Flask, PostgreSQL, ElasticSearch, RabbitMQ, Salt, AWS (en savoir plus).Nous travaillons selon la méthodologie agile SCRUM avec des livraisons propres, testées et régulières.Pour aller plus loin sur la manière dont nous travaillons, découvre notre blog technique.Ce qu'on te proposeRejoindre une équipe expérimentée et qui a à coeur de toujours développer ses connaissances et améliorer sa technique;Rejoindre une Squad avec qui tu partageras ton quotidien, elle se compose d'un.e PM, un.e QA, et 5 développeurs, back, front ou fullstack ;Dédier un après-midi par semaine aux Chapters : des sessions de travail par métiers pour travailler sur des problématiques techniques transverses, se former, faire de la veille, améliorer des process ou des méthodologies ;Te consacrer à des problématiques ""Ops"", Webpack, l'intégration continue, développer les bons outils, etc.TES MISSIONSConstruire la meilleure expérience et solution de paiement du marché ;Partager tes expériences et tes connaissances avec les autres développeurs ;Accompagner les développeurs moins expérimentés sur les projets ;Améliorer la disponibilité, la sécurité de nos services et de nos outils de livraison de code ;Contribuer à l'évolution de notre plateforme (ajout de nouveaux modes de paiement, nouvelles fonctionnalités produit, etc.).Requirements Développeur.e expérimenté.e (4 ans minimum), tu ne souhaites pas te spécialiser, back-end et front-end, les deux t'intéressent, tu as une bonne maîtrise d’un langage OO (Python, PHP, Ruby, Java ...) et de frameworks web ""récents"" (ReactJs, VueJS, Angular, ...) ;Les problématiques ""ops"" t'intéressent ;Tu as la conviction que le code doit être bien testé et que les tests unitaires font partie intégrante d’une fonctionnalité livrable ;Tu aimes travailler en équipe et es fièr.e du travail que tu produis ;Tu cultives ta curiosité sur les langages et les frameworks récents et as une compréhension approfondie du fonctionnement du Web.Hiring ProcessAppel de qualification avec l'un.e de nos Talent Managers (30') ;Entretien avec deux Engineering Managers (1h') ;Entretien technique avec un Lead et un Développeur (1h') ;Entretien avec Rémy (https://www.linkedin.com/in/remy-turpin/), Head of Engineering et Christophe (https://www.linkedin.com/in/cfreihuber/), CTO (1h') ;2 références.BenefitsModalités / avantages de travail :Choix de la machine (PC ou Mac) et développement avec tes outils (OS, éditeur de code, etc.) ;Organisation de travail hybride ;25 CP / an & 5 RTT / an ;Café, thé, snacks, petits déj du lundi, apéros du vendredi et autres events pour une vie d’équipe riche ! Des bureaux dans le 13e arrondissement de Paris (Bibliothèque François Mitterrand).Avantages financiers :Intéressement et Plan Epargne Entreprise (PEE) qui t’associent financièrement au succès de PayPlug ;Carte Apetiz (titres restaurants) d’une valeur de 9€ par jour (50% pris en charge par PayPlug) ;Santé / Famille : Mutuelle santé Alan (Programme Blue) prise en charge à 60% par PayPlug / Congé Second Parent (Parental Act) ;Abonnements aux transports publics ou Velib pris en charge à 50% par PayPlug.Autres :Moka.care pour le soutien à la santé mentale de chacun ;Windoo : activités de sport, bien-être et développement personnel en ligne ; 2 jours / an offerts pour s’engager en teambuilding dans des associations via DayOne.","Manager,Temps plein,Ingénierie,Services financiers"
43,Développeur Python web,Urban Linker,Paris et périphérie,,,"LA SOCIÉTÉCette startup a dix ans d'existence.Le produit : permettre d'accéder aux réseaux télécoms internationaux sans passer par un opérateur. La solution est aujourd'hui présente sur le continent américain (aux USA et au Canada notamment). Une partie des équipes sont d'ailleurs présentes à San Fransico. Fort d'une solution qui marche, cette société a aujourd'hui trouvé son équilibre financier. L'objectif pour le futur ? Faire évoluer la stack technique afin de combler la dette technique en interne, et surtout faire évoluer la solution afin d'en augmenter la sécurité !N'hésites pas et postule de ce pas !DESCRIPTION DU POSTETu intègres une équipe de cinq personnes (deux développeurs, deux data engineers et un responsable acquisition) et vos missions seront :Participer aux migrations techniquesDéveloppement de features backendÊtre garant des bonnes pratiques de codeParticiper aux évolutions de la stack techniquePACKAGETickets restaurantsMutuelle (50%) / Transport (50%)Contrat cadreAu bout d'un an dans la société, vous avez la possibilité de faire partir les gens aux USAPROFIL RECHERCHÉTu as minimum 3 ans d'expérience sur PythonTu maitrises GitTu maitrises le design de base de donnéesTu parles anglais obligatoirement","Confirmé,Temps plein,Ingénierie et Technologies de l’information,Recrutement"
44,Développeur(se) web Front-End,Digital Prod,Ville de Paris,il y a 3 semaines,,"Digital Prod est une agence à taille humaine en pleine expansion avec une vision globale de la création et de la production digitales, renforcée par une solide culture média. Une équipe dynamique, impliquée et sympathique, évoluant dans un cadre de travail agréable, pour des clients prestigieux, à dimension internationale (Dior, Nespresso, Clarins, Seb, Hermès, ...).Dans un contexte de forte croissance, nous cherchons à renforcer notre équipe technique travaillant sur des missions de développement de sites web, landing pages, emailing, bannières, outils internes.Nous recherchons un profil de développeur(se) web maîtrisant le Front (HTML5, CSS, Javascript), motivé(e) et réactif(ve). Qualifications et compétencesVous êtes un(e) développeur(euse) Web Front-End (HTML5, CSS, Javascript), habitué(e) à la création de sites et Landing Pages. Vous êtes capable d'intervenir sur des projets plus ou moins rapides, dans des contextes technologiques variés et pour des clients aux secteurs d'activités différents.Vous avez le goût du travail bien fait et bien testé. Vous êtes très réactif(ve), dynamique, autonome, curieux(se) et n'envisagez le travail qu'en équipe. Vous avez une appétence pour le web design qui vous aide dans votre travail au quotidien, vous avez à coeur de proposer une expérience client fluide et optimale, dans le respect des critères d'accessibilité.Seraient bienvenues mais pas indispensables : une connaissance des environnements Hybris, AEM, et/ou Salesforce Commerce Cloud,une connaissance de PHP, et notamment des CMS Wordpress ou Drupal. Profils recherchésVous avez des expériences significatives dans le développement front-end sur des problématiques variées, en agence digitale ou en freelance. Vous parlez anglais.Salaire selon profil. CDI.","Confirmé,Temps plein,Ingénierie et Technologies de l’information,Services de publicité"
